,c,k,z
0,0.0,0.0,0.0
1,0.0,0.0,-0.0014771070659603052
2,-0.0012505440802432332,-0.001061992285452813,-0.0010079968696374694
3,-0.002041751523524408,-0.0011571422501492153,0.0017538765687404097
4,-0.000549391366909091,0.0012088344242522102,0.0027427959024104265
5,0.0015269057394147589,0.003681382301300111,0.0026766890524789356
6,0.00332836818174345,0.0051559489156868706,0.0008088471102567448
7,0.0034679222781702243,0.004373288598974952,0.005124583433142695
8,0.007401220370104324,0.006502768871458098,0.004550753495359785
9,0.01085050837542486,0.006077656913138598,0.0018613033170754019
10,0.012398169470047944,0.0015339844429826457,0.002318958630427179
11,0.01521128905782844,-0.0042429505520264815,0.0006652485726384226
12,0.01781565870456718,-0.013716773881399245,-0.0013266020104227517
13,0.020509140333933123,-0.027496043850391824,0.001014432568381715
14,0.027669796696476144,-0.04309613165956745,0.0023654587760941906
15,0.039152604431816646,-0.06422834963594959,0.0034312889559216316
16,0.05600138874841293,-0.0945039645664224,0.005779483261159539
17,0.08126840115918586,-0.1375340159400444,0.005755078494153056
18,0.11577098441857536,-0.20192324539634063,0.0029346196278014595
19,0.1614432105203758,-0.2982354897586304,0.003226062682836161
20,0.22711459968827696,-0.4353924988591603,0.003041159260281431
21,0.32081451919222403,-0.6315361376732125,0.001038413334576965
22,0.4531063746473405,-0.9131520154539448,-0.0015183372199542046
23,0.6408783149310826,-1.3158752324049257,0.0015436249124720321
24,0.9135518048718154,-1.8860864145475853,0.003037396572558404
25,1.3046347546997052,-2.6996860734275874,0.0010800938362640637
26,1.861386779720847,-3.8647489151527235,-0.0008405452580379843
27,2.6558310083235908,-5.530448272760085,0.00021064153580486718
28,3.7931829700936905,-7.908226166644724,0.00012737179119339607
29,5.418984760732016,-11.305659236002743,0.0018333143153068544
30,7.744305939808787,-16.159136887351455,0.0016389627741330954
31,11.06695675180736,-23.096265302484717,0.0008979285701593805
32,15.81462465115783,-33.0113216320116,0.0017626904846451553
33,22.600544813525847,-47.18046100571271,0.0013556153075251964
34,32.297955338162424,-67.43086336003758,-6.082782882366948e-05
35,46.15564872585546,-96.37255589337924,0.0010624598846781432
36,65.96168975251507,-137.7324141203738,0.002987162679026996
