,A,C,K,Y,I
0,1.0,0.988469588504255,1.6021415247498,1.1518880240287326,0.16341843552447755
1,1.02,1.0082389802743401,1.634184355244796,1.174925784509307,0.16668680423496696
2,1.0404,1.0307361250494829,1.6700000117192368,1.199099391870896,0.16836326682141323
3,1.0612080000000002,1.0548125660543557,1.7060625999656474,1.223654606505512,0.16884204045115636
4,1.08243216,1.0764642224851644,1.7357725366487584,1.2471776650693227,0.17071344258415833
5,1.1040808032,1.0989488003660288,1.7651780301423274,1.2709754305361218,0.172026630170093
6,1.126162419264,1.1235898296223759,1.7955550904815658,1.2953297548240255,0.1717399252016496
7,1.14868566764928,1.1478225463030869,1.8224396038541253,1.3192794116882764,0.17145686538518956
8,1.1716593810022657,1.1738859075656165,1.8492728736952928,1.3435729808487293,0.16968707328311283
9,1.195092568622311,1.201584218387193,1.8749522629657478,1.3679749556644265,0.16639073727723352
10,1.2189944199947573,1.230881909780831,1.8988584986703276,1.3923518081347248,0.1614698983538938
11,1.2433743083946525,1.2615974435872102,1.9204682283079348,1.4165876804625654,0.1549902368753553
12,1.2682417945625455,1.2953385797085837,1.9414438718963654,1.4410494852280542,0.14571090551947052
13,1.2936066304537965,1.334157427666009,1.9625694395225315,1.4659159579545649,0.13175853028855578
14,1.3194787630628724,1.3731372560415986,1.976725318852188,1.4895859960577607,0.11644874001616201
15,1.3458683383241299,1.4176574204173444,1.9909100328675158,1.513621521184604,0.09596410076725959
16,1.3727857050906125,1.4660262059531124,2.001507126222085,1.5371953637720095,0.0711691578188971
17,1.4002414191924248,1.5192833657868503,2.00926473340461,1.5604619825593764,0.0411786167725261
18,1.4282462475762734,1.5734531721158818,2.0108348532949134,1.5826142995826902,0.009161127466808416
19,1.4568111725277988,1.6325187577417999,2.01232891201529,1.605062597291658,-0.027456160450141986
20,1.485947395978355,1.7008836270709755,2.016494829518499,1.6284766601545666,-0.07240696691640891
21,1.5156663438979219,1.770951648712217,2.0155849458040977,1.650983970522906,-0.11996767818931109
22,1.5459796707758804,1.839910772395994,2.0115461461207578,1.6730219739026235,-0.16688879849337046
23,1.5768992641913981,1.9083203261877406,2.0094549400100186,1.6958453580545683,-0.21247496813317235
24,1.6084372494752261,1.9829153772564316,2.015743004208798,1.7211290463645383,-0.2617863308918933
25,1.6406059944647307,2.0714636787790908,2.0318798844141828,1.7493327026986305,-0.32213097608046026
26,1.6734181143540252,2.1696365766995984,2.0495507529216397,1.7783642907767256,-0.3912722859228728
27,1.7068864766411058,2.2803986378618144,2.0683265961755675,1.8081272076460684,-0.472271430215746
28,1.741024206173928,2.3979469441794903,2.0834683985989,1.837381933746304,-0.5605650104331863
29,1.7758446902974065,2.5288451265312744,2.099387112785958,1.8672877359743199,-0.6615573905569545
30,1.8113615841033548,2.6660833496839915,2.112019772881215,1.8967627013855184,-0.7693206482984731
31,1.847588815785422,2.81457499043448,2.12573479134572,1.9269766466853782,-0.887598343749102
